sale_id,product_id,customer_id,sale_price,quantity,sale_date,total_revenue,sentiment_score,review_date,VIP_status
1667,P103,C_036,250.5,5,2023-02-08,1252.5,3.8,2023-03-09,Non-VIP
1675,P104,C_021,120.0,1,2023-03-06,120.0,4.2,2023-03-20,VIP
1680,P102,C_068,30.0,3,2023-02-22,90.0,2.8,2023-03-04,VIP
1682,P103,C_026,150.0,2,,300.0,3.6,2023-03-28,VIP
1691,P103,C_026,150.0,4,2023-01-07,600.0,3.6,2023-03-28,VIP
1694,P102,C_046,250.5,4,2023-01-20,1002.0,4.4,2023-01-06,VIP
1713,P104,C_086,150.0,3,2023-08-02,450.0,2.6,2023-01-21,VIP
1722,P103,C_068,150.0,3,2023-01-27,450.0,4.6,2023-02-01,VIP
1749,P102,C_016,30.0,1,,30.0,2.5,2023-02-07,Non-VIP
1752,P103,C_046,120.0,4,2023-01-02,480.0,1.7000000000000002,2023-01-18,VIP
1753,P105,C_086,120.0,4,,480.0,4.2,2023-02-28,VIP
1761,P103,C_046,30.0,1,2023-03-29,30.0,1.7000000000000002,2023-01-18,VIP
1765,P103,C_018,120.0,2,2023-09-01,240.0,1.4,2023-03-31,VIP
1771,P102,C_071,120.0,5,,600.0,4.1,2023-01-14,VIP
1779,P102,C_070,250.5,1,2023-03-08,250.5,1.6,2023-01-15,VIP
1782,P103,C_098,150.0,4,2023-09-01,600.0,3.0,2023-03-26,VIP
1783,P103,C_092,250.5,3,2023-02-03,751.5,3.3,2023-03-11,VIP
1788,P105,C_035,250.5,1,2023-01-29,250.5,3.5,2023-03-04,VIP
1803,P104,C_062,30.0,4,2023-02-19,120.0,4.4,2023-03-10,VIP
1809,P105,C_087,120.0,3,2023-02-25,360.0,2.8,2023-01-17,VIP
1811,P104,C_013,75.0,2,2023-01-17,150.0,4.2,2023-01-15,Non-VIP
1814,P101,C_087,150.0,1,2023-01-14,150.0,1.2,2023-03-24,VIP
1832,P103,C_034,150.0,4,,600.0,2.2,2023-03-24,Non-VIP
1835,P101,C_064,120.0,4,2023-03-14,480.0,2.3,2023-03-16,VIP
1840,P105,C_083,75.0,1,2023-02-13,75.0,2.0,2023-03-11,Non-VIP
1847,P102,C_021,30.0,4,,120.0,1.7000000000000002,2023-01-14,VIP
1854,P103,C_068,150.0,1,2023-03-26,150.0,4.6,2023-02-01,VIP
1858,P103,C_089,75.0,2,,150.0,2.4,2023-02-08,VIP
1867,P103,C_068,75.0,2,2023-02-22,150.0,4.6,2023-02-01,VIP
1870,P103,C_098,250.5,1,2023-01-17,250.5,3.0,2023-03-26,VIP
1872,P101,C_056,120.0,4,2023-03-16,480.0,4.6,2023-03-10,VIP
1876,P103,C_098,250.5,2,2023-01-08,501.0,3.0,2023-03-26,VIP
1881,P105,C_017,150.0,1,2023-02-02,150.0,2.5,2023-03-02,VIP
1883,P103,C_086,120.0,1,2023-03-19,120.0,2.0,2023-03-02,VIP
1888,P102,C_016,75.0,3,2023-03-18,225.0,2.5,2023-02-07,Non-VIP
1907,P104,C_066,250.5,1,2023-02-19,250.5,4.8,2023-03-27,VIP
1914,P103,C_012,120.0,5,2023-01-19,600.0,2.4,2023-03-23,Non-VIP
1918,P102,C_089,250.5,2,2023-01-15,501.0,2.5,2023-03-11,VIP
1919,P105,C_017,120.0,4,2023-03-24,480.0,2.5,2023-03-02,VIP
1933,P103,C_080,120.0,4,2023-03-25,480.0,2.9,2023-01-30,VIP
1934,P103,C_061,75.0,5,2023-02-07,375.0,2.8,2023-02-08,Non-VIP
1943,P103,C_085,120.0,5,,600.0,1.3,2023-03-22,Non-VIP
1944,P104,C_057,120.0,1,2023-01-10,120.0,2.4,2023-02-11,VIP
1945,P103,C_059,75.0,5,,375.0,1.5,2023-01-17,Non-VIP
1954,P103,C_034,120.0,4,2023-03-18,480.0,2.2,2023-03-24,Non-VIP
1962,P102,C_071,120.0,5,2023-01-05,600.0,4.1,2023-01-14,VIP
1963,P105,C_026,150.0,4,2023-03-26,600.0,2.5,2023-01-21,VIP
1964,P105,C_080,150.0,1,,150.0,1.5,2023-03-27,VIP
1968,P102,C_021,250.5,5,2023-11-03,1252.5,1.7000000000000002,2023-01-14,VIP
1970,P105,C_026,120.0,1,2023-02-18,120.0,2.5,2023-01-21,VIP
1983,P104,C_062,120.0,1,2023-08-03,120.0,4.4,2023-03-10,VIP
1984,P105,C_018,75.0,1,2023-05-03,75.0,3.8,2023-01-27,VIP
1986,P101,C_087,120.0,5,2023-03-31,600.0,1.2,2023-03-24,VIP
1989,P104,C_062,120.0,2,2023-03-08,240.0,4.4,2023-03-10,VIP
1992,P104,C_062,120.0,1,2023-02-03,120.0,4.4,2023-03-10,VIP
